idx,Price
1738,422.2
4943,106.9
2916,271.2
1595,444.7
3214,259.9
99,1355.6
4734,133.5
3403,237.7
4809,130.4
4040,170.3
4915,103.4
191,1225.5
4596,129.1
2672,294.8
2525,354.7
879,644.2
1962,399.3
2704,286.5
2581,331.8
4876,116.0
3631,189.7
4870,116.7
4085,163.4
3626,187.9
1699,429.1
3896,161.9
1837,404.0
3779,164.1
2533,345.7
3536,184.4
3970,167.8
1634,449.2
166,1272.1
2574,333.9
3393,240.5
1024,573.9
1589,447.4
3226,246.8
1272,471.2
3992,163.3
4914,103.7
1174,481.1
3196,280.0
152,1253.4
2615,319.2
4687,134.2
1972,377.9
2765,282.9
4257,134.2
2980,242.8
2859,271.5
1084,537.1
4821,125.4
1360,443.8
3720,167.9
31,1344.2
937,599.8
2330,365.4
1932,413.8
3469,206.1
309,1164.3
2450,339.1
1448,467.6
3109,301.6
495,968.1
205,1187.7
2669,293.9
3353,248.9
3825,165.4
305,1184.0
3788,162.9
3905,157.9
1061,551.0
843,667.9
4267,139.5
4758,136.5
211,1192.3
3711,176.7
679,782.7
565,916.9
2577,333.5
3575,188.9
680,776.7
180,1234.4
2656,292.4
1212,449.5
2312,334.8
4272,142.2
278,1088.1
1108,524.4
1860,415.4
432,952.1
289,1089.5
1027,570.2
535,900.8
3426,232.5
188,1229.2
4015,164.4
3910,155.0
4766,139.1
270,982.3
3493,204.2
4628,133.8
2154,367.5
3691,179.4
111,1356.8
3235,248.2
220,1125.7
627,762.1
1432,477.1
3352,248.7
4094,169.1
790,660.2
3018,258.4
461,974.8
4401,117.7
551,940.3
1833,408.9
2775,272.4
198,1161.9
2585,327.1
402,1048.7
3050,316.7
2133,381.8
4762,140.5
3289,231.8
4865,115.7
4461,114.6
650,791.0
708,749.8
1859,412.6
4854,122.0
1438,474.3
3365,240.0
2609,322.0
314,1146.4
1197,460.7
4473,115.8
113,1336.1
960,619.5
2906,258.9
2254,301.9
1618,444.5
3318,246.2
4998,107.8
4318,118.2
3908,157.3
4791,132.2
3410,228.7
4527,124.8
1807,422.2
3560,188.9
3193,277.5
4028,166.0
2218,330.2
4190,153.7
3012,244.8
2575,333.7
1808,424.4
1321,449.6
2857,271.3
3321,240.7
2267,300.4
3014,233.2
789,662.0
4023,163.6
3100,309.0
3128,287.4
871,643.6
4342,107.7
1323,446.1
73,1339.9
1747,420.9
1417,470.3
1338,462.4
3782,164.2
4092,169.5
4574,123.5
3804,164.7
3247,247.4
2880,256.5
2274,314.9
494,970.3
3126,279.6
2186,351.3
1258,452.4
1164,482.7
3179,288.6
4692,129.9
1489,459.6
4587,132.5
4799,131.7
618,766.3
1741,417.6
2323,355.3
4395,118.2
4501,125.7
4606,129.6
3406,236.4
869,647.9
2714,279.4
1042,558.6
2900,270.2
356,1122.1
1162,486.9
3889,158.5
4785,129.9
1260,454.6
3563,187.3
2458,349.6
3542,180.7
3635,183.9
2029,387.6
3049,313.6
332,1115.7
1292,463.2
2732,278.1
3475,211.3
3740,162.6
3570,187.3
1116,514.3
1844,409.8
3550,182.9
2463,359.7
4663,134.1
4792,133.7
445,939.1
2242,320.4
452,953.4
2802,262.3
4759,136.7
4679,134.3
14,1351.7
2620,318.0
945,621.3
247,970.7
3213,262.6
360,1085.1
4655,130.7
1536,463.6
2685,291.8
1281,471.0
3164,300.4
1743,417.1
4446,112.7
1335,458.4
4883,113.2
2990,232.0
490,955.6
862,654.6
3311,247.8
4370,107.3
1870,416.8
4127,164.4
1616,442.3
506,945.2
2673,291.2
3616,189.0
1937,411.6
1222,454.2
1113,520.5
2316,355.5
4388,114.8
1351,456.3
4671,134.7
433,939.2
2063,387.1
3150,279.2
4437,109.4
3764,169.2
1514,461.3
3158,293.6
3456,209.8
1405,465.9
4150,162.1
1102,519.2
1444,474.1
2236,315.1
4333,102.6
3837,150.1
156,1237.3
2974,253.2
2570,346.1
615,773.6
643,789.6
2944,251.0
1630,447.5
1068,557.2
3880,151.2
3844,152.4
4238,142.2
3078,312.3
330,1112.3
1456,467.4
2642,306.0
2939,257.6
622,743.7
1746,418.7
2321,357.1
3593,192.7
2897,259.8
2792,267.4
1650,450.2
2705,283.6
755,694.0
518,919.0
3862,154.8
32,1330.8
3074,317.6
1157,485.1
744,707.0
1849,413.5
2399,343.6
3647,182.2
2587,321.6
783,670.7
1767,416.3
2503,338.5
229,1111.6
857,644.8
1491,463.0
4862,117.8
408,1032.1
170,1265.4
540,933.5
4981,111.1
2318,355.6
4263,138.3
613,765.4
2447,330.3
1803,418.9
3434,226.9
1161,488.1
2057,387.1
2361,360.6
1590,446.3
4264,137.9
1451,466.4
2195,330.2
564,912.2
3567,188.1
4246,137.4
2282,316.6
1739,418.6
2700,288.5
1397,471.1
4927,102.2
3471,213.8
4404,116.4
2389,340.7
2480,348.6
3958,163.4
1172,481.2
3405,236.0
325,1107.1
1051,558.8
2942,251.7
3290,236.3
2881,257.5
3176,288.3
3666,180.7
1196,460.3
620,763.5
1370,449.1
2955,243.1
1189,469.4
328,1098.8
648,798.6
897,637.1
3622,189.3
1123,505.3
1886,406.1
4727,131.6
1818,413.8
4444,109.9
1912,404.4
1436,474.7
3308,252.8
2145,375.4
1541,459.8
1505,466.8
1023,576.5
1965,382.5
2387,335.1
1598,452.5
3950,156.6
4953,112.4
809,634.1
2846,269.1
978,589.3
3350,250.8
2686,292.5
2749,267.9
2487,345.6
4281,133.3
3481,210.9
1878,409.0
3568,186.4
4976,113.6
174,1225.2
1550,450.5
4140,163.4
2067,380.9
4460,113.7
217,1144.5
3909,157.7
3716,170.7
690,747.6
3879,151.6
4022,163.6
3684,182.2
1106,527.7
3774,167.2
1891,405.6
3114,293.4
611,794.0
4003,167.9
3707,179.4
576,889.1
4224,146.7
4434,110.3
1180,470.4
888,650.0
4657,132.8
2319,353.4
2659,289.0
817,657.4
3273,238.8
4482,119.6
208,1171.2
293,1112.4
1119,512.7
2210,326.4
4210,144.3
1264,464.8
990,579.7
4196,149.6
4278,133.6
353,1095.1
1924,408.3
4886,110.5
3038,321.2
4244,135.3
3044,317.7
1228,463.6
259,1023.9
4796,131.0
4538,119.0
4738,138.0
1765,407.6
3944,154.3
52,1407.7
4410,117.2
2276,301.0
2710,280.4
2405,337.6
4438,108.6
3119,290.1
1033,559.0
1097,523.6
543,952.4
1046,559.7
3492,203.9
4586,133.9
30,1332.8
725,731.1
3022,298.1
2094,378.6
3898,160.1
1426,469.8
2757,279.1
436,964.0
2977,249.2
912,640.6
4221,145.3
4163,156.8
4511,124.1
3326,236.0
2284,317.8
1877,408.4
1238,467.9
903,650.8
1769,416.8
4523,123.3
4800,129.3
507,937.9
3858,152.7
183,1275.1
2543,348.4
2131,379.2
321,1119.5
3633,185.7
1507,461.1
1755,415.0
2512,347.2
2339,357.6
1835,403.1
4133,166.2
4436,109.3
1146,495.5
3076,318.1
44,1341.0
3960,163.4
2034,387.3
4528,124.2
1378,446.2
1832,408.1
3008,249.0
413,1019.0
2432,332.0
1407,464.7
2437,333.8
801,630.9
1288,469.0
3965,165.9
2438,329.7
1545,456.0
2314,344.9
256,1042.7
1789,414.0
1684,438.8
1151,489.6
2298,321.4
647,805.0
4980,112.1
1697,431.0
1876,409.1
4845,121.7
1315,455.2
1995,390.0
1961,404.8
2476,351.7
4562,119.8
1350,457.1
4483,118.9
112,1358.8
3129,294.2
263,1037.7
1393,464.4
1873,412.5
1186,466.9
2348,362.9
56,1393.6
1309,453.4
695,756.8
2107,387.0
1721,435.3
1782,419.9
1732,423.6
319,1129.3
2459,353.8
682,769.8
2311,338.4
3209,269.0
4213,145.3
3503,198.7
4605,130.2
286,1084.2
3220,252.2
4075,165.3
2922,269.1
1714,431.5
4375,111.2
4009,165.1
1600,453.8
2080,376.1
736,701.5
1729,427.6
336,1093.2
3055,327.0
2767,279.4
2823,272.0
4403,116.8
1071,547.3
2287,322.5
4114,171.0
2288,321.0
1964,387.0
4112,170.4
3920,159.9
3362,241.5
1488,460.2
498,973.8
4343,107.7
4607,129.6
3571,187.4
4155,158.8
2917,268.6
3678,178.2
2127,380.3
2153,369.8
2275,306.1
2317,356.1
1022,578.8
2555,340.7
4885,112.6
4629,132.3
4614,129.8
2011,391.0
665,785.4
3927,157.8
2634,309.6
1894,404.2
3250,237.7
1017,586.8
557,936.6
2395,341.4
1207,457.9
2988,225.2
2954,246.5
3660,178.2
1510,459.2
3603,191.8
245,984.4
1163,485.1
2653,296.4
266,980.2
4273,141.8
1114,520.5
63,1381.0
2588,320.6
